GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Placeholder API,com.mycompany.myapp.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Placeholder API,com.mycompany.myapp.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Placeholder API,com.mycompany.myapp.config,WebConfigurer,12,136,5,7,3,36,5,7,0,6
Placeholder API,com.mycompany.myapp.config,CacheConfiguration,58,0,2,0,20,0,8,0,7,0
Placeholder API,com.mycompany.myapp.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Placeholder API,com.mycompany.myapp.config,JacksonConfiguration,19,0,0,0,5,0,5,0,5,0
Placeholder API,com.mycompany.myapp.config,StaticResourcesWebConfiguration,0,70,0,0,0,13,0,7,0,7
Placeholder API,com.mycompany.myapp.config,SecurityConfiguration,214,0,0,0,57,0,6,0,6,0
Placeholder API,com.mycompany.myapp.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Placeholder API,com.mycompany.myapp.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Placeholder API,com.mycompany.myapp.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Placeholder API,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Placeholder API,com.mycompany.myapp.web.rest.errors,ErrorConstants,7,0,0,0,2,0,1,0,1,0
Placeholder API,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,320,0,24,0,73,0,22,0,10,0
Placeholder API,com.mycompany.myapp.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Placeholder API,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Placeholder API,com.mycompany.myapp.web.rest,AccountResource,28,0,0,0,9,0,3,0,3,0
Placeholder API,com.mycompany.myapp.web.rest,ClientForwardController,0,5,0,0,0,2,0,2,0,2
Placeholder API,com.mycompany.myapp.web.rest,AccountResource.UserVM,17,0,0,0,7,0,4,0,4,0
Placeholder API,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Placeholder API,com.mycompany.myapp,PlaceholderApiApp,139,0,8,0,34,0,10,0,6,0
Placeholder API,com.mycompany.myapp.security,SecurityUtils,11,60,5,9,4,11,5,7,0,5
